id,inicio_paletizado,fin_paletizado,carga_EXPO_lista_rampa,inicio_despaletizado,fin_despaletizado,hora_asegurado,compartimientos_abiertos,inicio_descarga,fin_descarga,inicio_cargado,fin_cargado,compartimientos_cerrados,puerta_cerrada,hora_retro_empuje,hora_despegue,hora_aterrizaje,fin_limpieza_cabina,cierre_vuelo_mostrador,primer_equipaje_faja,ultimo_equipaje_faja,inicio_limpieza_cabina
3446,,,,,,,05:40:00,,,05:43:00,06:30:00,06:31:00,06:30:00,06:35:00,06:49:00,,,,,,
3448,,,,,,,05:30:00,,,05:35:00,06:10:00,06:28:00,06:31:00,06:34:00,06:48:00,,,05:40:00,,,
3450,,,,,,,05:30:00,,,05:38:00,06:24:00,06:32:00,06:32:00,06:34:00,06:51:00,,,,,,
3498,,,,,,,06:58:00,,,07:08:00,06:53:00,06:55:00,06:56:00,07:35:00,07:48:00,,,07:10:00,,,
3554,,,,,,,07:00:00,15:54:00,,07:02:00,07:47:00,07:55:00,07:58:00,08:02:00,08:16:00,,,,,,
3556,,,,,,,06:55:00,,,06:58:00,07:55:00,07:56:00,07:58:00,08:07:00,08:22:00,,,,,,
3560,,,,,,,06:58:00,,,06:59:00,07:38:00,07:47:00,07:47:00,08:00:00,08:16:00,,,07:09:00,,,
3562,,,,,,,06:58:00,,,07:03:00,07:40:00,07:45:00,07:59:00,08:04:00,08:20:00,,,,,,
3611,,,,,,12:52:00,12:55:00,12:57:00,13:10:00,13:12:00,13:38:00,13:40:00,13:38:00,13:41:00,14:06:00,12:45:00,13:11:00,13:08:00,12:13:00,13:30:00,13:04:00
3612,,,,,,13:38:00,13:39:00,13:40:00,13:55:00,13:57:00,14:20:00,14:21:00,14:25:00,14:29:00,14:37:00,13:34:00,13:49:00,13:45:00,13:48:00,14:00:00,13:38:00
3613,,,,,,12:05:00,12:15:00,12:16:00,12:28:00,12:30:00,13:08:00,13:10:00,13:15:00,13:22:00,13:40:00,11:53:00,12:30:00,12:20:00,12:32:00,12:45:00,12:25:00
3614,,,,,,12:28:00,12:29:00,12:32:00,12:43:00,12:45:00,13:20:00,13:21:00,13:22:00,13:27:00,13:35:00,12:20:00,12:50:00,12:35:00,12:37:00,12:49:00,12:42:00
3615,,,,,,12:45:00,12:46:00,12:47:00,13:02:00,13:04:00,13:35:00,13:36:00,13:38:00,13:40:00,13:58:00,12:42:00,13:02:00,12:35:00,12:57:00,13:10:00,12:55:00
3616,,,,,,14:23:00,14:24:00,14:25:00,14:37:00,14:40:00,15:08:00,15:15:00,15:13:00,15:20:00,15:32:00,14:20:00,14:41:00,14:33:00,14:35:00,14:45:00,14:35:00
3617,,,,,,12:14:00,12:15:00,12:18:00,12:27:00,12:30:00,13:06:00,13:08:00,13:09:00,13:10:00,13:23:00,12:10:00,12:36:00,12:25:00,12:24:00,12:33:00,12:31:00
3618,,,,,,14:30:00,14:33:00,14:35:00,14:45:00,14:48:00,15:17:00,15:20:00,15:20:00,15:23:00,15:41:00,14:27:00,14:46:00,14:30:00,14:42:00,14:53:00,14:38:00
3619,,,,,,12:04:00,12:05:00,12:08:00,12:16:00,12:18:00,12:42:00,12:56:00,13:05:00,13:10:00,13:26:00,11:57:00,12:27:00,12:15:00,12:11:00,12:22:00,12:22:00
3620,,,,,,12:18:00,12:20:00,12:21:00,12:30:00,12:33:00,13:03:00,13:05:00,13:04:00,13:09:00,13:30:00,12:11:00,12:37:00,12:40:00,12:29:00,12:38:00,12:30:00
3621,,,,,,12:12:00,12:15:00,12:17:00,12:28:00,12:30:00,12:48:00,12:57:00,13:00:00,13:08:00,12:23:00,12:08:00,12:33:00,12:33:00,12:23:00,12:35:00,12:28:00
3622,,,,,,12:07:00,12:10:00,12:12:00,12:29:00,12:33:00,12:53:00,12:55:00,13:06:00,13:13:00,13:25:00,12:02:00,12:29:00,,12:19:00,12:37:00,12:22:00
3623,,,,,,11:53:00,11:56:00,11:58:00,12:08:00,12:12:00,12:50:00,13:04:00,13:04:00,13:07:00,13:19:00,11:48:00,12:14:00,12:10:00,12:05:00,12:13:00,12:07:00
3624,,,,,,12:28:00,12:31:00,12:33:00,12:51:00,12:53:00,13:13:00,13:19:00,13:20:00,13:24:00,13:40:00,12:23:00,12:49:00,12:30:00,12:28:00,13:00:00,12:43:00
3625,,,,,,12:10:00,12:13:00,12:15:00,12:27:00,12:30:00,12:40:00,13:05:00,13:09:00,13:11:00,,12:05:00,12:35:00,12:30:00,12:22:00,12:36:00,12:28:00
3626,,,,,,12:29:00,12:32:00,12:35:00,12:59:00,13:02:00,13:15:00,13:20:00,13:25:00,13:31:00,13:44:00,12:25:00,12:50:00,12:35:00,12:43:00,13:05:00,12:45:00
3627,,,,,,12:47:00,12:52:00,12:55:00,13:15:00,13:16:00,13:36:00,13:44:00,13:44:00,13:56:00,13:04:00,12:43:00,13:26:00,12:50:00,13:09:00,13:23:00,13:19:00
3628,,,,,,12:25:00,12:28:00,12:30:00,12:45:00,12:47:00,13:21:00,13:22:00,13:23:00,13:28:00,13:45:00,12:19:00,12:48:00,12:30:00,12:36:00,12:49:00,12:41:00
3667,,,,,,13:22:00,13:25:00,13:26:00,13:40:00,13:42:00,14:10:00,14:15:00,14:18:00,14:21:00,14:43:00,13:16:00,13:48:00,13:30:00,14:32:00,13:45:00,13:41:00
